"","County","Formation","Lat","Lng","prod"
"1","Adair","Unknown",37.057465,-85.214395,0
"2","Adair","Unknown",37.056191,-85.201912,0
"3","Adair","Stones River",37.04945,-85.38488,75
"4","Adair","Knox Gp",37.02353,-85.3514,40
"5","Adair","Knox Gp",37.02254,-85.35082,19
"6","Adair","Knox Gp",37.02691,-85.36934,0
"7","Adair","Unknown",37.08574,-85.3728,222
"8","Adair","Unknown",37.07142,-85.37276,100
"9","Adair","Unknown",37.06531,-85.37975,100
"10","Adair","Unknown",37.06663,-85.37895,100
"11","Adair","Unknown",37.06494,-85.37836,100
"12","Adair","Unknown",37.07145,-85.37424,405
"13","Adair","Unknown",37.08672,-85.37817,100
"14","Adair","Unknown",36.94104,-85.28727,0
"15","Adair","Knox Gp",36.93943,-85.28737,1526
"16","Adair","Unknown",36.93833,-85.28764,0
"17","Adair","Unknown",37.00799,-85.26123,29
"18","Adair","Murfreesboro",37.0081,-85.25274,29
"19","Adair","Unknown",37.00945,-85.26105,29
"20","Adair","Unknown",37.0097,-85.26239,29
"21","Adair","Unknown",37.06981,-85.38561,1201
"22","Adair","Unknown",37.06337,-85.39084,0
"23","Adair","Unknown",37.0624,-85.39154,0
"24","Adair","Unknown",37.06305,-85.39266,0
"25","Adair","Unknown",37.06565,-85.39363,0
"26","Adair","Unknown",37.07186,-85.38166,87
"27","Adair","Unknown",37.07235,-85.38501,87
"28","Adair","Knox Gp",37.03993,-85.39178,30
"29","Adair","Murfreesboro",37.03203,-85.38513,0
"30","Adair","Unknown",37.06007,-85.38784,26
"31","Adair","Unknown",37.035802,-85.377961,95
"32","Adair","Unknown",36.94659,-85.26199,195
"33","Adair","Unknown",37.10508,-85.48908,80
"34","Adair","Unknown",37.11226,-85.4592,0
"35","Adair","Unknown",37.113901,-85.295398,0
"36","Adair","Unknown",37.17367,-85.09863,0
"37","Adair","Unknown",37.001129,-85.278354,10629
"38","Adair","Knox Gp",37.05624,-85.3913,90
"39","Adair","Unknown",37.03285,-85.38739,87
"40","Adair","Unknown",37.03456,-85.38649,87
"41","Adair","Knox Gp",37.08883,-85.4171,0
"42","Adair","Knox Gp",37.05623,-85.35017,0
"43","Adair","Unknown",36.9467,-85.32889,70
"44","Adair","Knox Gp",37.03564,-85.37741,47
"45","Adair","Unknown",37.156781,-85.133409,0
"46","Adair","Knox Gp",37.09547,-85.42104,16
"47","Adair","Unknown",37.18046,-85.12658,83
"48","Adair","Knox Gp",37.09411,-85.42167,16
"49","Adair","Knox Gp",37.09514,-85.42435,16
"50","Adair","Knox Gp",37.08958,-85.42137,17
"51","Adair","Knox Gp",37.09059,-85.42077,17
"52","Adair","Knox Gp",37.09153,-85.42005,17
"53","Adair","Unknown",37.09254,-85.41952,17
"54","Adair","Commingled",37.09239,-85.4209,17
"55","Adair","Knox Gp",37.09145,-85.42162,17
"56","Adair","Unknown",37.09226,-85.43246,17
"57","Adair","Unknown",37.09186,-85.42524,17
"58","Adair","Unknown",37.09202,-85.42791,17
"59","Adair","Unknown",37.09239,-85.42919,17
"60","Adair","Unknown",37.09311,-85.42813,17
"61","Adair","Unknown",37.09272,-85.42684,17
"62","Adair","Unknown",37.09132,-85.42897,17
"63","Adair","Unknown",37.09241,-85.43057,17
"64","Adair","Unknown",37.09255,-85.42381,17
"65","Adair","Unknown",37.0908,-85.42459,17
"66","Adair","Unknown",37.09133,-85.43034,17
"67","Adair","Unknown",37.09066,-85.42596,871
"68","Adair","Unknown",37.09134,-85.43171,17
"69","Adair","Knox Gp",37.0942,-85.42308,16
"70","Adair","Unknown",37.06091,-85.40069,0
"71","Adair","Unknown",37.06586,-85.38315,180
"72","Adair","Unknown",37.066219,-85.386102,0
"73","Adair","Unknown",37.06481,-85.37642,53
"74","Adair","Unknown",37.0647,-85.37499,115
"75","Adair","Unknown",36.9444,-85.27844,70
"76","Adair","Unknown",36.94346,-85.27728,70
"77","Adair","Unknown",36.94439,-85.2761,70
"78","Adair","Knox Gp",36.93004,-85.28923,0
"79","Adair","Knox Gp",36.9299852,-85.2903358,0
"80","Adair","Knox Gp",36.93045,-85.28453,0
"81","Adair","Knox Gp",36.95071,-85.24206,77
"82","Adair","Unknown",37.0845,-85.37551,100
"83","Adair","Unknown",36.97644,-85.32497,61
"84","Adair","Unknown",37.03979,-85.35915,5
"85","Adair","Unknown",37.03828,-85.35887,5
"86","Adair","Knox Gp",37.09718,-85.44084,36
"87","Adair","Knox Gp",37.09601,-85.44009,36
"88","Adair","Knox Gp",37.09783,-85.43368,113
"89","Adair","Unknown",37.09743,-85.43236,90
"90","Adair","Knox Gp",37.09745,-85.4368,123
"91","Adair","Knox Gp",37.0981,-85.43792,123
"92","Adair","Knox Gp",37.0968,-85.4347,78
"93","Adair","Knox Gp",37.09657,-85.43335,78
"94","Adair","Unknown",37.072995,-85.415313,9228
"95","Adair","Unknown",37.06801,-85.418562,59
"96","Adair","Knox Gp",37.09835,-85.44349,0
"97","Adair","Knox Gp",37.08561,-85.40967,66
"98","Adair","Knox Gp",37.08556,-85.41228,245
"99","Adair","Commingled",37.07633,-85.40967,245
"100","Adair","Knox Gp",37.07792,-85.40967,245
"101","Adair","Granville",36.94675,-85.22493,22
"102","Adair","Unknown",36.96906,-85.30818,65
"103","Adair","Commingled",37.03743,-85.37947,295
"104","Adair","Lexington Ls",37.0383,-85.37858,240
"105","Adair","Unknown",37.0593,-85.38962,163
"106","Adair","Unknown",37.09958,-85.432271,94
"107","Adair","Unknown",37.100862,-85.430635,94
"108","Adair","Unknown",37.100052,-85.429671,94
"109","Adair","Knox Gp",37.07068,-85.41394,574
"110","Adair","Knox Gp",37.08622,-85.42546,360
"111","Adair","Knox Gp",37.07021,-85.41519,574
"112","Adair","Knox Gp",37.08405,-85.42826,245
"113","Adair","Knox Gp",37.08468,-85.42713,295
